PDB_Name,PDB_ID,Max_PDB_TM,RMSD,TM_Score,Length
length_400_0_45,3tr2.cif.gz_B,0.7271,2.011154362488672,0.9160563818022464,400
length_350_6_56,7uek.cif.gz_A,0.7395,1.6575555222665117,0.9318727226814412,350
length_465_3_13,4hyj.cif.gz_B,0.6022,5.60047468680852,0.7451381003018156,465
length_290_1_24,6hzv.cif.gz_C,0.9651,0.7953796435344239,0.9782278170583274,290
length_320_0_40,4ab6.cif.gz_B,0.7117,4.631858733968033,0.7352065446637466,320
length_290_7_90,6hzv.cif.gz_D,0.9737,0.6476478949973803,0.985189641555078,290
length_365_2_2,1ub3.cif.gz_B,0.6944,1.687170173479212,0.9297092535899412,365
length_235_2_37,7sqc.cif.gz_1H,0.6982,1.6848466557179531,0.9058096901948296,235
length_205_1_80,4l85.cif.gz_B,0.7216,1.0188449187312816,0.9565925173237826,205
length_140_4_1,1pmp.cif.gz_A,0.8874,0.8467463874616973,0.9537607825476438,140
length_315_0_14,5cwj.cif.gz_A,0.7406,1.7303762120070825,0.9221617249085712,315
length_345_4_61,6vga.cif.gz_MODEL_16_A,0.7,1.5247451411832025,0.9400430526546564,345
length_415_1_83,1kjn.cif.gz_B,0.7238,1.8299427245136173,0.9297600938374811,415
length_190_1_24,5wp3.cif.gz_B,0.6528,0.8712929298742572,0.9640616035977214,190
length_280_0_9,4wfq.cif.gz_A,0.5334,3.3679175593523043,0.7974104348946245,280
length_430_3_91,6e9x.cif.gz_C,0.691,3.439179467340278,0.8249080164774871,430
length_260_1_1,1zit.cif.gz_MODEL_35_A,0.7767,0.9416247842090696,0.968745886086626,260
length_180_7_8,2gjs.cif.gz_A,0.9138,0.9581786912801792,0.953475532786916,180
length_425_4_87,4kw2.cif.gz_A,0.6516,1.299236211345214,0.9616935827074554,425
length_485_6_8,7nna.cif.gz_A,0.6786,10.120351133107503,0.6149097489965225,485
length_145_4_21,4eit.cif.gz_B,0.7628,0.8611530563044327,0.9562353190986604,145
length_470_5_100,6kki.cif.gz_A,0.5288,10.406134463057551,0.6098118886983601,470
length_435_8_34,3kbt.cif.gz_B,0.6357,17.116149362757522,0.5077456593519393,435
length_195_0_96,4l85.cif.gz_B,0.7042,1.380266720604519,0.9254435772035704,195
length_355_8_2,4n2y.cif.gz_D,0.7207,4.578882325097804,0.7982320579476231,355
length_185_2_28,2gsc.cif.gz_C,0.6818,4.053270084305431,0.8203979382719705,185
length_215_5_43,2a2y.cif.gz_MODEL_1_A,0.7153,1.3310390794073437,0.929815870921066,215
length_325_0_55,4kio.cif.gz_C,0.87,1.584197723003422,0.9343808658852404,325
length_270_1_30,1snu.cif.gz_B,0.9265,1.2827339703576983,0.9453925642526236,270
